Stadium_Name,Locality,Federative_Units,Owner,Capacity
Maracanã,Rio de Janeiro,RJ,Governo Estadual,78838
Mané Garrincha,Brasília,DF,Governo Distrital,72788
Morumbi,São Paulo,SP,Privado,66975
Castelão,Fortaleza,CE,Governo Estadual,63903
Mineirão,Belo Horizonte,MG,Governo Estadual,61846
Arruda,Recife,PE,Privado,60044
Arena do Grêmio,Porto Alegre,RS,Privado,55662
Mangueirão,Belém,PA,Governo Estadual,53645
Parque do Sabiá,Uberlândia,MG,Governo Municipal,53350
Beira-Rio,Porto Alegre,RS,Privado,50942
Itaipava Arena Fonte Nova,Salvador,BA,Governo Estadual,50025
Neo Química Arena,São Paulo,SP,Privado,47605
Arena MRV,Belo Horizonte,MG,Privado,47465
Nilton Santos,Rio de Janeiro,RJ,Governo Municipal,46831
Arena de Pernambuco,São Lourenço da Mata,PE,Governo Estadual,46154
Prudentão,Presidente Prudente,SP,Governo Municipal,45954
Albertão,Teresina,PI,Governo Estadual,44200
Morenão,Campo Grande,MS,Governo Federal,44200
Arena Pantanal,Cuiabá,MT,Governo Estadual,44097
Arena da Amazônia,Manaus,AM,Governo Estadual,44000
Allianz Parque,São Paulo,SP,Privado,43713
Ligga Arena,Curitiba,PR,Privado,42372
Serra Dourada,Goiânia,GO,Governo Estadual,42000
Couto Pereira,Curitiba,PR,Privado,40502
Castelão,São Luís,MA,Governo Estadual,40149
Barradão,Salvador,BA,Privado,35000
Pinheirão,Curitiba,PR,Privado,35000
Olímpico da USP,São Paulo,SP,Privado,35000
Ilha do Retiro,Recife,PE,Privado,32983
Teixeirão,São José do Rio Preto,SP,Privado,32936
Pituaçu,Salvador,BA,Governo Estadual,32157
Arena das Dunas,Natal,RN,Privado,32050
Helenão,Juiz de Fora,MG,Governo Municipal,31863
Arena Barueri,Barueri,SP,Governo Municipal,31452
Estádio do Café,Londrina,PR,Governo Municipal,30000
Douradão,Dourados,MS,Governo Estadual,30000
Santa Cruz,Ribeirão Preto,SP,Privado,29292
Brinco de Ouro,Campinas,SP,Privado,29130
Boca do Jacaré,Taguatinga,DF,Governo Distrital,27000
Irmão Gino Maria Rossi,Pouso Alegre,MG,Governo Municipal,26000
Pacaembu,São Paulo,SP,Governo Municipal,26000
Almeidão,João Pessoa,PB,Governo Estadual,25770
Amigão,Campina Grande,PB,Governo Estadual,25770
Regional Arnaldo Busatto,Cascavel,PR,Governo Municipal,25000
São Januário,Rio de Janeiro,RJ,Privado,24584
Major Levy Sobrinho,Limeira,SP,Governo Municipal,23475
Independência,Belo Horizonte,MG,Privado,23018
Aflitos,Recife,PE,Privado,22856
Ipatingão,Ipatinga,MG,Governo Municipal,22500
Canindé,São Paulo,SP,Privado,22375
Centenário,Caxias do Sul,RS,Privado,22132
Colosso da Lagoa,Erechim,RS,Privado,22000
Vila Belmiro,Santos,SP,Privado,21732
Arena da Fonte Luminosa,Araraquara,SP,Governo Municipal,21441
Kleber Andrade,Cariacica,ES,Governo Estadual,21000
Bezerrão,Gama,DF,Governo Distrital,20300
Presidente Vargas,Fortaleza,CE,Governo Municipal,20268
Raulino de Oliveira,Volta Redonda,RJ,Governo Municipal,20255
Arena Condá,Chapecó,SC,Governo Municipal,20200
Arena Joinville,Joinville,SC,Governo Municipal,20160
Arena do Jacaré,Sete Lagoas,MG,Privado,20020
Arena Acreana,Rio Branco,AC,Governo Estadual,20000
Willie Davids,Maringá,PR,Governo Municipal,20000
Alfredo Jaconi,Caxias do Sul,RS,Privado,19924
Heriberto Hülse,Criciúma,SC,Privado,19900
Vail Chaves,Mogi Mirim,SP,Privado,19900
Moisés Lucarelli,Campinas,SP,Privado,19728
Orlando Scarpelli,Florianópolis,SC,Privado,19584
Lacerdão,Caruaru,PE,Privado,19478
Arena Capivari,Capivari,SP,Governo Municipal,19000
Alfredão,Bauru,SP,Privado,18886
Novelli Júnior,Itu,SP,Governo Municipal,18560
Parque São Jorge,São Paulo,SP,Privado,18500
Palma Travassos,Ribeirão Preto,SP,Privado,18277
Barão de Serra Negra,Piracicaba,SP,Governo Municipal,18000
Ítalo del Cima,Rio de Janeiro,RJ,Privado,18000
Luthero Lopes,Rondonópolis,MT,Governo Municipal,18000
Ressacada,Florianópolis,SC,Privado,17826
Arena Romeirão,Juazeiro do Norte,CE,Governo Municipal,17230
Felipão,Paranavaí,PR,Governo Municipal,17147
Vila Capanema,Curitiba,PR,Privado,17140
Nabi Abi Chedid,Bragança Paulista,SP,Privado,17128
Trapichão,Maceió,AL,Governo Estadual,17126
Adail Nunes da Silva,Taquaritinga,SP,Governo Municipal,16805
Anacleto Campanella,São Caetano do Sul,SP,Governo Municipal,16744
Martins Pereira,São José dos Campos,SP,Governo Municipal,16500
